Time,Type,Target,Status,Details
2025-05-03 00:12:26,PORT,10.17.252.28,open,"{""port"":445}"
2025-05-03 00:12:26,PORT,10.17.252.28,open,"{""port"":135}"
2025-05-03 00:12:26,SERVICE,10.17.252.28,identified,"{""domain_name"":""WORKGROUP"",""mac"":""1c:bf:c0:24:15:6f"",""port"":139,""server_service"":""CMF"",""workstation_service"":""CMF""}"
2025-05-03 00:12:29,PORT,10.17.230.77,open,"{""port"":139}"
2025-05-03 00:12:29,PORT,10.17.230.77,open,"{""port"":445}"
2025-05-03 00:12:29,PORT,10.17.230.77,open,"{""port"":135}"
2025-05-03 00:12:32,PORT,10.17.56.19,open,"{""port"":139}"
2025-05-03 00:12:32,PORT,10.17.56.19,open,"{""port"":445}"
2025-05-03 00:12:32,PORT,10.17.56.19,open,"{""port"":135}"
2025-05-03 00:12:33,SERVICE,10.17.56.19,identified,"{""domain_name"":""WORKGROUP"",""mac"":""e0:d0:45:62:1a:f6"",""port"":139,""server_service"":""CHINAMI-VGIEPR3"",""workstation_service"":""CHINAMI-VGIEPR3""}"
2025-05-03 00:12:38,PORT,10.17.193.136,open,"{""port"":445}"
2025-05-03 00:12:38,PORT,10.17.193.136,open,"{""port"":139}"
2025-05-03 00:12:38,PORT,10.17.193.136,open,"{""port"":135}"
2025-05-03 00:12:38,SERVICE,10.17.193.136,identified,"{""domain_name"":""WORKGROUP"",""mac"":""a0:b3:39:f1:c0:cf"",""port"":139,""server_service"":""SKDG042"",""workstation_service"":""SKDG042""}"
2025-05-03 00:12:40,PORT,10.17.47.22,open,"{""port"":135}"
2025-05-03 00:12:40,PORT,10.17.47.22,open,"{""port"":445}"
2025-05-03 00:12:40,PORT,10.17.47.22,open,"{""port"":139}"
2025-05-03 00:12:40,SERVICE,10.17.47.22,identified,"{""domain_name"":""WORKGROUP"",""mac"":""98:5f:41:54:7e:7d"",""port"":139,""server_service"":""LAPTOP-E2F8U573"",""workstation_service"":""LAPTOP-E2F8U573""}"
2025-05-03 00:12:41,PORT,10.17.186.128,open,"{""port"":139}"
2025-05-03 00:12:41,PORT,10.17.186.128,open,"{""port"":445}"
2025-05-03 00:12:41,PORT,10.17.186.128,open,"{""port"":135}"
2025-05-03 00:12:41,SERVICE,10.17.186.128,identified,"{""domain_name"":""WORKGROUP"",""mac"":""90:78:41:44:38:c9"",""port"":139,""server_service"":""LAPTOP-9MJ8G2HO"",""workstation_service"":""LAPTOP-9MJ8G2HO""}"
2025-05-03 00:12:42,PORT,10.17.20.171,open,"{""port"":139}"
2025-05-03 00:12:42,PORT,10.17.20.171,open,"{""port"":445}"
2025-05-03 00:12:42,PORT,10.17.20.171,open,"{""port"":135}"
2025-05-03 00:12:42,SERVICE,10.17.20.171,identified,"{""domain_name"":""WORKGROUP"",""mac"":""c8:5e:a9:36:df:17"",""port"":139,""server_service"":""WIN-PC"",""workstation_service"":""WIN-PC""}"
2025-05-03 00:12:44,PORT,10.17.22.34,open,"{""port"":139}"
2025-05-03 00:12:44,PORT,10.17.22.34,open,"{""port"":445}"
2025-05-03 00:12:44,PORT,10.17.22.34,open,"{""port"":135}"
2025-05-03 00:12:44,SERVICE,10.17.22.34,identified,"{""domain_name"":""WORKGROUP"",""mac"":""dc:97:ba:1b:08:96"",""port"":139,""server_service"":""DESKTOP-38NJPMQ"",""workstation_service"":""DESKTOP-38NJPMQ""}"
2025-05-03 00:12:45,PORT,10.17.124.52,open,"{""port"":139}"
2025-05-03 00:12:45,PORT,10.17.124.52,open,"{""port"":135}"
2025-05-03 00:12:45,PORT,10.17.124.52,open,"{""port"":445}"
2025-05-03 00:12:45,SERVICE,10.17.124.52,identified,"{""domain_name"":""WORKGROUP"",""mac"":""f8:89:d2:82:9f:df"",""port"":139,""server_service"":""LAPTOP-LRPVJ1Q4"",""workstation_service"":""LAPTOP-LRPVJ1Q4""}"
2025-05-03 00:12:47,PORT,10.17.140.137,open,"{""port"":139}"
2025-05-03 00:12:47,PORT,10.17.53.16,open,"{""port"":445}"
2025-05-03 00:12:47,PORT,10.17.53.16,open,"{""port"":139}"
2025-05-03 00:12:47,PORT,10.17.140.137,open,"{""port"":135}"
2025-05-03 00:12:47,PORT,10.17.140.137,open,"{""port"":445}"
2025-05-03 00:12:47,PORT,10.17.53.16,open,"{""port"":135}"
2025-05-03 00:12:47,SERVICE,10.17.140.137,identified,"{""computer_name"":""Bubble"",""domain_name"":""Bubble"",""mac"":""4c:5f:70:ca:97:34"",""netbios_computer"":""BUBBLE"",""netbios_domain"":""BUBBLE"",""os_version"":""Windows 10 Home China 26100"",""port"":139,""server_service"":""BUBBLE"",""workstation_service"":""BUBBLE""}"
2025-05-03 00:12:47,SERVICE,10.17.53.16,identified,"{""domain_name"":""WORKGROUP"",""mac"":""d0:39:57:9b:0c:d9"",""port"":139,""server_service"":""LAPTOP-8FU0DPAT"",""workstation_service"":""LAPTOP-8FU0DPAT""}"
2025-05-03 00:12:50,PORT,10.17.81.234,open,"{""port"":445}"
2025-05-03 00:12:50,PORT,10.17.81.234,open,"{""port"":135}"
2025-05-03 00:12:50,PORT,10.17.81.234,open,"{""port"":139}"
2025-05-03 00:12:50,SERVICE,10.17.81.234,identified,"{""domain_name"":""WORKGROUP"",""mac"":""74:4c:a1:da:13:c5"",""port"":139,""server_service"":""LAPTOP-EEGD36BV"",""workstation_service"":""LAPTOP-EEGD36BV""}"
2025-05-03 00:12:51,PORT,10.17.119.35,open,"{""port"":139}"
2025-05-03 00:12:51,PORT,10.17.119.35,open,"{""port"":445}"
2025-05-03 00:12:51,PORT,10.17.119.35,open,"{""port"":135}"
2025-05-03 00:12:51,SERVICE,10.17.119.35,identified,"{""domain_name"":""WORKGROUP"",""mac"":""c8:cb:9e:02:f4:4a"",""port"":139,""server_service"":""DESKTOP-SPNEH1H"",""workstation_service"":""DESKTOP-SPNEH1H""}"
2025-05-03 00:12:53,PORT,10.17.72.192,open,"{""port"":139}"
2025-05-03 00:12:53,PORT,10.17.72.192,open,"{""port"":445}"
2025-05-03 00:12:53,PORT,10.17.72.192,open,"{""port"":135}"
2025-05-03 00:12:53,SERVICE,10.17.72.192,identified,"{""domain_name"":""WORKGROUP"",""mac"":""a0:02:a5:b7:e1:c5"",""port"":139,""server_service"":""LAPTOP-229ASK8O"",""workstation_service"":""LAPTOP-229ASK8O""}"
2025-05-03 00:12:55,PORT,10.17.251.105,open,"{""port"":139}"
2025-05-03 00:12:55,PORT,10.17.251.105,open,"{""port"":135}"
2025-05-03 00:12:55,SERVICE,10.17.251.105,identified,"{""domain_name"":""WORKGROUP"",""mac"":""34:7d:f6:ee:83:74"",""port"":139,""server_service"":""LAPTOP-J21OBGLF"",""workstation_service"":""LAPTOP-J21OBGLF""}"
2025-05-03 00:12:56,PORT,10.17.140.168,open,"{""port"":135}"
2025-05-03 00:12:56,PORT,10.17.140.168,open,"{""port"":139}"
2025-05-03 00:12:56,PORT,10.17.140.168,open,"{""port"":445}"
2025-05-03 00:12:56,SERVICE,10.17.140.168,identified,"{""domain_name"":""WORKGROUP"",""mac"":""04:e8:b9:38:2a:5c"",""port"":139,""server_service"":""LAPTOP-3GCDN1EM"",""workstation_service"":""LAPTOP-3GCDN1EM""}"
2025-05-03 00:23:40,PORT,10.17.189.104,open,"{""port"":139}"
2025-05-03 00:23:40,PORT,10.17.113.176,open,"{""port"":135}"
2025-05-03 00:23:40,PORT,10.17.113.176,open,"{""port"":139}"
2025-05-03 00:23:40,PORT,10.17.189.104,open,"{""port"":135}"
2025-05-03 00:23:40,PORT,10.17.189.104,open,"{""port"":445}"
2025-05-03 00:23:40,PORT,10.17.113.176,open,"{""port"":445}"
2025-05-03 00:23:43,PORT,10.17.209.234,open,"{""port"":139}"
2025-05-03 00:23:43,PORT,10.17.209.234,open,"{""port"":445}"
2025-05-03 00:23:43,PORT,10.17.209.234,open,"{""port"":135}"
2025-05-03 00:23:45,SERVICE,10.17.113.176,identified,"{""banner"":""."",""port"":139,""service"":""unknown""}"
2025-05-03 00:23:45,SERVICE,10.17.189.104,identified,"{""banner"":""."",""port"":139,""service"":""unknown""}"
2025-05-03 00:23:45,SERVICE,10.17.113.176,identified,"{""domain_name"":""WORKGROUP"",""mac"":""f4:6a:dd:e2:99:ab"",""port"":139,""server_service"":""LAPTOP-0MGS0MAE"",""workstation_service"":""LAPTOP-0MGS0MAE""}"
2025-05-03 00:23:45,PORT,10.17.52.109,open,"{""port"":139}"
2025-05-03 00:23:45,PORT,10.17.52.109,open,"{""port"":445}"
2025-05-03 00:23:45,PORT,10.17.52.109,open,"{""port"":135}"
2025-05-03 00:23:46,SERVICE,10.17.189.104,identified,"{""domain_name"":""WORKGROUP"",""mac"":""62:4d:2f:95:53:0a"",""port"":139,""server_service"":""TXPC"",""workstation_service"":""TXPC""}"
2025-05-03 00:23:46,SERVICE,10.17.189.104,identified,"{""port"":445,""service"":""unknown""}"
2025-05-03 00:23:46,SERVICE,10.17.113.176,identified,"{""port"":445,""service"":""unknown""}"
2025-05-03 00:23:48,SERVICE,10.17.209.234,identified,"{""banner"":""."",""port"":139,""service"":""unknown""}"
2025-05-03 00:23:48,SERVICE,10.17.209.234,identified,"{""port"":445,""service"":""unknown""}"
2025-05-03 00:23:49,PORT,10.17.48.210,open,"{""port"":445}"
2025-05-03 00:23:49,PORT,10.17.48.210,open,"{""port"":139}"
2025-05-03 00:23:49,PORT,10.17.48.210,open,"{""port"":135}"
